게임 이름	게임 Id	소스			
S.T.A.L.K.E.R.: Clear Sky	20510	Steam	12시간 54분	22시간 28분	36시간 29분
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition	2427420	Steam	12시간 54분	22시간 28분	36시간 29분
S.T.A.L.K.E.R.: Shadow of Chernobyl	4500	Steam	15시간 2분	24시간 18분	41시간 15분
S.T.A.L.K.E.R.: Shadow of Chornobyl - Enhanced Edition	2427410	Steam	15시간 2분	24시간 18분	41시간 15분
Saints Row: The Third	55230	Steam	15시간 24분	27시간 29분	45시간 44분
Sakura Taisen	3667d1be-5525-4291-98c4-89a49c3eb373	에뮬	18시간 23분	27시간 17분	49시간 13분
Samurai Shodown NeoGeo Collection: Limited Edition Pack	75553c71fa1744a4be89f71d5b862eae	Epic	3시간 16분	6시간 7분	31시간 8분
Satellite Reign	268870	Steam	21시간 4분	30시간 48분	40시간 36분
Sekiro: Shadows Die Twice	83ee0d43-19df-443d-9825-f03cbae42c67	DRM-free	데이터 없음		
Sengoku Rance	3d88460b-3d4f-4d8f-a5cf-52e6cb10d55c	DRM-free	데이터 없음		
Serke Demo	3116650	Steam	데이터 없음		
Severed Steel	7179f095efcc4f92a950a6d9dbd9c602	Epic	3시간 1분	6시간 14분	21시간 31분
Shadow of the Tomb Raider: Definitive Edition	890d9cf396d04922a1559333df419fed	Epic	12시간 53분	26시간 2분	42시간 28분
Shadow Warrior	233130	Steam	12시간 16분	15시간 27분	35시간 54분
Shadowrun Returns	dc29cb42f32e4a17af1d68c715fa459c	Epic	11시간 36분	14시간 23분	17시간 46분
Shadowrun Returns	234650	Steam	11시간 36분	14시간 23분	17시간 46분
Shadowrun: Dragonfall - Director's Cut	5b41454974be4d5883056ba298e53675	Epic	20시간 36분	29시간 28분	41시간 40분
Shadowrun: Dragonfall - Director's Cut	300550	Steam	20시간 36분	29시간 28분	41시간 40분
Shadowrun: Hong Kong	41470cb5755440b8b55ec3f94351133a	Epic	20시간 19분	31시간 22분	45시간 8분
Shadowrun: Hong Kong - Extended Edition	346940	Steam	20시간 29분	41시간 41분	47시간 39분
Sherlock Holmes: Crimes & Punishments	0afb9d54dd3743a582b48b506466d3f8	Epic	12시간 35분	14시간 47분	15시간 27분
Shin Megami Tensei: Strange Journey	ad5cedd3-f0cc-47ca-a8e3-0f2ce8f40689	에뮬	데이터 없음		
Sid Meier's Civilization V	8930	Steam	39시간 36분	123시간 42분	430시간 50분
Sid Meier's Civilization VI	Kinglet	Epic	23시간 18분	99시간 15분	387시간 36분
Silent Storm	254960	Steam	36시간 58분	41시간 46분	47시간 39분
Silent Storm: Sentinels	254980	Steam	23시간 45분	31시간 28분	33시간 0분
Sins of a Solar Empire: Rebellion	204880	Steam	10시간 10분	49시간 2분	174시간 47분
Skyrim Script Extender (SKSE)	365720	Steam	데이터 없음		
Sleeping Dogs: Definitive Edition	307690	Steam	14시간 20분	23시간 32분	41시간 41분
Snake Pass	544330	Steam	5시간 17분	8시간 21분	12시간 18분
Soma	1439487606	GOG	9시간 4분	10시간 55분	11시간 4분
SoulCalibur VI	544750	Steam	6시간 56분	19시간 18분	38시간 43분
Space Channel 5: Part 2	71260	Steam	2시간 42분	5시간 15분	10시간 27분
Spec Ops: The Line	50300	Steam	6시간 7분	7시간 32분	16시간 17분
Star Wars Battlefront II: Celebration Edition	MtMassive	Epic	데이터 없음		
State of Decay	241540	Steam	15시간 30분	22시간 33분	36시간 52분
